annee,temperature_moyenne_c,jours_de_gel,jours_tmax_sup_30c,cumul_pluie_mm,jours_pluie_sup_1mm,deficit_estival_avr_sep_mm,derniere_gelee_printemps_jour_annee,premiere_gelee_automne_jour_annee
1950,9.81,72,1,1248,158,27,118,300
1951,9.06,67,0,1533,184,-211,120,332
1952,9.66,81,8,1564,180,207,96,314
1953,9.6,87,0,813,123,84,107,312
1954,8.7,58,0,1322,170,-133,111,320
1955,10.03,63,0,1364,147,247,91,306
1956,8.06,75,1,1160,151,-262,110,303
1957,9.46,54,2,1104,140,-2,127,326
1958,9.59,61,0,1621,180,-234,107,316
1959,10.65,41,2,1333,147,88,52,313
1960,9.5,52,0,1619,189,-84,93,292
1961,10.68,39,0,1316,149,40,83,308
1962,9.23,82,4,1272,146,155,106,303
1963,8.7,77,0,1387,169,-235,98,327
1964,9.67,67,2,1228,133,-36,88,299
1965,9.14,71,0,1867,202,-437,110,317
1966,9.74,45,1,1679,194,-120,90,305
1967,9.61,59,0,1316,160,-27,93,328
1968,9.4,66,3,1567,176,-382,101,321
1969,9.13,74,0,1604,191,-354,109,310
1970,9.33,72,0,1506,197,-104,119,320
1971,9.37,66,0,1560,183,-380,88,289
1972,9.07,48,0,1319,171,-104,117,321
1973,9.06,97,0,1292,154,-101,113,311
1974,9.26,38,1,1601,195,-259,128,287
1975,9.34,72,5,1198,161,-19,126,307
1976,9.78,61,2,1343,148,40,115,319
1977,9.3,52,0,1655,189,-313,126,322
1978,9.05,59,0,1358,180,16,112,322
1979,9.11,76,0,1740,183,-113,125,315
1980,8.59,72,0,1413,160,-50,101,308
1981,9.41,68,1,1719,176,-237,119,300
1982,10.24,38,4,1463,157,-8,104,320
1983,10.07,63,7,1522,154,-369,104,322
1984,9.15,67,0,1518,174,-79,99,338
1985,9.19,74,1,1102,140,52,131,317
1986,9.52,69,4,1605,169,-198,103,331
1987,9.61,59,4,1366,163,-130,94,330
1988,10.05,47,1,1448,168,-70,93,326
1989,10.81,50,3,1032,117,71,117,311
1990,10.61,49,6,1325,153,41,111,311
1991,9.71,64,4,1105,144,101,114,298
1992,9.96,55,1,1306,160,-76,108,341
1993,9.71,59,1,1345,159,-238,93,317
1994,10.85,32,5,1558,174,-238,106,350
1995,10.45,48,6,1349,159,101,110,309
1996,9.67,53,0,1434,170,-54,96,324
1997,10.95,38,1,1239,151,-36,59,302
1998,9.9,62,7,1309,150,-154,106,310
1999,10.2,50,2,1491,171,-118,88,320
2000,10.29,38,1,1524,170,-147,91,316
2001,9.92,57,3,1436,174,-166,112,313
2002,10.44,24,1,1278,167,-38,107,331
2003,11.24,61,22,1171,136,203,98,297
2004,9.93,60,2,1283,154,-18,100,315
2005,10.01,81,3,976,118,176,99,322
2006,10.79,62,6,1351,145,30,101,345
2007,10.2,41,1,1368,156,-142,91,314
2008,9.7,51,0,1515,167,-183,98,328
2009,10.4,59,1,1302,144,0,84,292
2010,9.16,84,2,1349,164,-5,104,300
2011,11.26,42,5,937,126,264,70,331
2012,10.08,55,5,1273,153,-173,108,302
2013,9.73,72,3,1354,160,13,97,324
2014,10.9,22,2,1283,168,36,87,338
2015,11.02,44,11,1103,131,128,85,326
2016,10.56,39,7,1390,143,51,78,317
2017,10.5,51,2,1260,139,-5,118,311
2018,11.54,36,9,1359,162,294,90,324
2019,11.02,33,13,1515,169,155,95,317
2020,11.48,12,10,1462,153,168,91,344
2021,10.23,42,3,1408,163,-52,107,330
2022,12.15,41,22,1139,144,237,100,339
2023,11.41,40,8,1706,164,55,66,329
2024,11.0,29,5,1715,173,-293,115,327
2025,11.39,41,24,1389,150,88,76,322
