date,pluie_mm,etp_mm,t_c,swi,sswi_10j,drainage_mm,ruissellement_mm
1958-08-01,1.0,3.0,23.7,0.412,,0.1,0.0
1958-08-02,0.0,2.8,16.9,0.404,,0.1,0.0
1958-08-03,0.0,3.5,13.7,0.394,,0.1,0.0
1958-08-04,0.0,4.0,14.5,0.385,,0.1,0.0
1958-08-05,0.0,2.7,18.8,0.379,,0.1,0.0
1958-08-06,0.0,3.0,16.9,0.374,,0.1,0.0
1958-08-07,2.1,3.2,14.0,0.37,,0.1,0.0
1958-08-08,0.0,2.9,16.0,0.369,,0.0,0.0
1958-08-09,0.0,4.3,21.3,0.361,,0.0,0.0
1958-08-10,0.0,4.5,22.2,0.354,-0.681,0.0,0.0
1958-08-11,9.7,1.8,16.4,0.372,-0.693,0.0,0.2
1958-08-12,1.8,2.8,13.4,0.373,-0.699,0.0,0.0
1958-08-13,0.0,2.9,13.5,0.369,-0.704,0.0,0.0
1958-08-14,0.0,3.2,17.0,0.361,-0.712,0.0,0.0
1958-08-15,0.0,4.0,19.9,0.354,-0.721,0.0,0.0
1958-08-16,0.0,3.5,18.6,0.348,-0.734,0.0,0.0
1958-08-17,2.3,2.7,19.6,0.347,-0.748,0.0,0.0
1958-08-18,23.7,3.6,20.4,0.353,-0.754,0.0,0.9
1958-08-19,17.8,2.0,14.7,0.427,-0.688,0.1,1.0
1958-08-20,2.7,1.9,13.0,0.479,-0.577,0.1,0.1
1958-08-21,17.2,1.7,13.9,0.484,-0.479,0.1,1.3
1958-08-22,31.0,1.5,13.2,0.614,-0.294,0.3,3.1
1958-08-23,1.1,2.4,11.9,0.626,-0.117,0.1,0.0
1958-08-24,14.1,2.4,14.9,0.626,0.063,0.1,1.4
1958-08-25,0.1,2.6,13.7,0.657,0.258,0.1,0.0
1958-08-26,0.0,3.2,14.0,0.645,0.453,0.1,0.0
1958-08-27,0.0,4.5,20.6,0.627,0.63,0.1,0.0
1958-08-28,0.0,3.6,23.4,0.615,0.781,0.1,0.0
1958-08-29,0.1,2.6,21.4,0.609,0.858,0.1,0.0
1958-08-30,11.0,2.2,19.8,0.608,0.9,0.1,0.9
1958-08-31,3.1,2.0,18.1,0.639,0.953,0.1,0.2
1958-09-01,0.0,2.8,16.6,0.631,0.909,0.1,0.0
1958-09-02,0.0,3.2,17.8,0.619,0.843,0.1,0.0
