date,t_min_c,t_max_c,t_moy_c,pluie_mm,etp_mm,rafale_max_kmh,debit_montane_l_s,secheresse_niveau,secheresse_zone
2026-09-13,11.3,26.7,18.3,0.0,4.06,24.1,14.9,crise,zone Corrèze amont
2026-09-14,14.3,29.3,20.8,0.0,4.39,28.8,8.5,crise,zone Corrèze amont
2026-09-15,13.0,28.8,21.1,0.0,4.2,27.4,6.2,crise,zone Corrèze amont
2026-09-16,11.9,20.2,16.4,0.0,2.96,33.5,4.4,crise,zone Corrèze amont
2026-09-17,4.6,18.0,12.2,0.0,2.54,26.6,4.5,crise,zone Corrèze amont
2026-09-18,9.4,19.2,13.4,0.0,1.93,21.2,5.3,crise,zone Corrèze amont
2026-09-19,7.7,22.6,14.7,0.0,3.19,19.8,7.9,crise,zone Corrèze amont
2026-09-20,8.9,26.6,17.7,0.0,3.94,24.5,9.1,crise,zone Corrèze amont
2026-09-21,13.3,24.8,18.3,0.0,4.1,36.4,7.1,crise,zone Corrèze amont
2026-09-22,11.7,26.5,18.0,0.0,5.33,41.4,4.1,crise,zone Corrèze amont
2026-09-23,9.6,26.5,18.8,0.0,4.31,31.3,1.0,crise,zone Corrèze amont
